sale_id,date_time,item type,weight,country name,cost
1,2016-01-05 16:21:00,letter,0.28,Norway,18.0
1,2016-01-05 16:21:00,parcel,9.12,Romania,280.85
1,2016-01-05 16:21:00,parcel,10.13,Brazil,280.85
2,2017-02-27 10:18:00,parcel,18.82,Malta,341.29
2,2017-02-27 10:18:00,parcel,11.21,France,178.94
2,2017-02-27 10:18:00,letter,0.43,Spain,18.0
3,2017-11-19 12:34:00,letter,0.14,Brunei Darussalam,6.0
4,2016-09-27 14:19:00,letter,0.21,Denmark,9.0
4,2016-09-27 14:19:00,parcel,13.12,Nigeria,295.99
5,2016-05-07 15:46:00,parcel,10.43,Spain,178.94
5,2016-05-07 15:46:00,letter,0.11,Saudi Arabia,9.0
6,2016-09-05 13:37:00,letter,0.41,Netherlands,18.0
7,2016-10-18 12:04:00,letter,0.36,Nigeria,18.0
7,2016-10-18 12:04:00,parcel,13.65,Taiwan - Province Of China,153.39
7,2016-10-18 12:04:00,parcel,12.45,Romania,280.85
8,2017-09-18 16:05:00,letter,0.37,Norway,18.0
8,2017-09-18 16:05:00,letter,0.36,Lao People's Democratic Republic,12.0
8,2017-09-18 16:05:00,letter,0.45,Myanmar,12.0
9,2017-07-10 11:10:00,letter,0.15,Serbia,9.0
9,2017-07-10 11:10:00,letter,0.5,Sri Lanka,12.0
10,2017-10-04 12:59:00,parcel,17.76,United Kingdom,200.9
10,2017-10-04 12:59:00,letter,0.31,Vietnam,12.0
10,2017-10-04 12:59:00,letter,0.29,Austria,18.0
11,2017-02-08 12:42:00,parcel,5.92,Germany,151.84
11,2017-02-08 12:42:00,letter,0.25,Argentina,9.0
12,2016-06-17 12:36:00,letter,0.11,Kenya,9.0
12,2016-06-17 12:36:00,parcel,12.31,Philippines,161.41
12,2016-06-17 12:36:00,letter,0.45,Solomon Islands,12.0
13,2016-12-27 09:59:00,parcel,7.84,French Polynesia,161.41
14,2016-12-21 13:21:00,letter,0.46,Indonesia,12.0
14,2016-12-21 13:21:00,letter,0.21,Arab Emirates,9.0
15,2016-09-14 10:18:00,letter,0.17,Serbia,9.0
16,2017-09-05 12:48:00,parcel,3.04,Malta,128.08
17,2016-04-22 11:42:00,parcel,12.45,Qatar,295.99
17,2016-04-22 11:42:00,letter,0.48,Portugal,18.0
17,2016-04-22 11:42:00,letter,0.26,Solomon Islands,12.0
18,2017-01-19 14:24:00,parcel,13.18,Slovenia,280.85
18,2017-01-19 14:24:00,parcel,16.34,Greece,341.29
18,2017-01-19 14:24:00,letter,0.14,Korea - Republic Of,6.0
19,2017-04-13 09:59:00,letter,0.49,Taiwan - Province Of China,12.0
20,2017-06-27 07:12:00,letter,0.2,Solomon Islands,6.0
20,2017-06-27 07:12:00,letter,0.44,Brunei Darussalam,12.0
20,2017-06-27 07:12:00,letter,0.24,United Kingdom,9.0
21,2017-01-31 13:40:00,parcel,11.16,Turkey,280.85
22,2016-12-15 12:51:00,letter,0.19,Vietnam,6.0
23,2016-12-05 14:36:00,parcel,6.62,Canada,157.35
24,2016-04-20 12:00:00,letter,0.39,Singapore,12.0
24,2016-04-20 12:00:00,parcel,9.84,Greece,280.85
24,2016-04-20 12:00:00,parcel,19.54,Kenya,359.45
25,2017-03-22 12:15:00,parcel,4.67,Tonga,87.03
26,2017-12-25 09:36:00,parcel,19.79,India,178.1
27,2016-01-06 14:04:00,letter,0.16,Taiwan - Province Of China,6.0
28,2016-10-12 11:43:00,letter,0.34,Romania,18.0
28,2016-10-12 11:43:00,letter,0.43,Czech Republic,18.0
28,2016-10-12 11:43:00,letter,0.15,Japan,6.0
29,2017-09-18 13:17:00,letter,0.18,Romania,9.0
29,2017-09-18 13:17:00,letter,0.24,Myanmar,6.0
29,2017-09-18 13:17:00,parcel,5.15,Ireland,148.01
30,2016-12-25 13:15:00,letter,0.45,Romania,18.0
30,2016-12-25 13:15:00,letter,0.39,Vanuatu,12.0
31,2016-01-22 13:01:00,letter,0.34,Papua New Guinea,12.0
31,2016-01-22 13:01:00,parcel,19.65,Croatia,341.29
31,2016-01-22 13:01:00,letter,0.38,Malaysia,12.0
32,2016-02-01 12:31:00,letter,0.31,Vietnam,12.0
32,2016-02-01 12:31:00,letter,0.47,Sri Lanka,12.0
33,2016-11-22 11:11:00,letter,0.16,Arab Emirates,9.0
34,2017-08-24 11:16:00,parcel,10.05,Netherlands,178.94
35,2016-05-11 11:57:00,parcel,10.17,United States,157.35
35,2016-05-11 11:57:00,letter,0.36,Belgium,18.0
36,2016-09-07 11:20:00,parcel,10.27,Argentina,295.99
36,2016-09-07 11:20:00,parcel,11.71,Greece,280.85
37,2016-06-24 12:36:00,parcel,14.88,Nauru,161.41
37,2016-06-24 12:36:00,parcel,3.68,Arab Emirates,135.21
37,2016-06-24 12:36:00,parcel,14.69,Turkey,280.85
38,2017-12-03 13:20:00,letter,0.17,Nepal,6.0
39,2017-01-06 10:00:00,letter,0.43,Denmark,18.0
40,2016-01-05 12:01:00,letter,0.13,Greece,9.0
40,2016-01-05 12:01:00,parcel,10.75,Ireland,174.45
40,2016-01-05 12:01:00,parcel,10.77,Thailand,153.39
41,2017-09-25 13:13:00,letter,0.25,Nigeria,9.0
41,2017-09-25 13:13:00,parcel,10.23,United Kingdom,174.45
42,2016-10-02 12:38:00,letter,0.35,Arab Emirates,18.0
43,2017-10-27 12:17:00,letter,0.42,United Kingdom,18.0
44,2016-12-19 14:17:00,letter,0.23,Korea - Republic Of,6.0
44,2016-12-19 14:17:00,letter,0.4,United Kingdom,18.0
45,2017-10-12 14:26:00,letter,0.21,Thailand,6.0
45,2017-10-12 14:26:00,letter,0.49,Israel,18.0
45,2017-10-12 14:26:00,letter,0.41,Turkey,18.0
46,2017-08-15 11:10:00,parcel,17.81,Malaysia,178.1
46,2017-08-15 11:10:00,letter,0.14,Argentina,9.0
47,2016-03-24 10:34:00,letter,0.41,Papua New Guinea,12.0
47,2016-03-24 10:34:00,letter,0.25,Argentina,9.0
48,2017-09-11 13:22:00,letter,0.32,Papua New Guinea,12.0
49,2016-11-12 16:36:00,parcel,14.01,India,153.39
49,2016-11-12 16:36:00,letter,0.13,Sri Lanka,6.0
49,2016-11-12 16:36:00,letter,0.5,Serbia,18.0
50,2016-11-05 14:40:00,letter,0.46,Greece,18.0
50,2016-11-05 14:40:00,letter,0.43,Samoa,12.0
51,2017-03-10 18:34:00,letter,0.14,Denmark,9.0
52,2016-02-09 11:09:00,parcel,16.16,Serbia,341.29
52,2016-02-09 11:09:00,letter,0.11,Arab Emirates,9.0
53,2017-11-16 13:04:00,letter,0.36,New Zealand,11.0
54,2016-12-18 11:45:00,letter,0.2,Fiji,6.0
54,2016-12-18 11:45:00,letter,0.12,Canada,9.0
54,2016-12-18 11:45:00,letter,0.22,Hong Kong,6.0
55,2017-10-08 12:56:00,parcel,13.52,Malaysia,153.39
55,2017-10-08 12:56:00,parcel,16.66,India,178.1
56,2016-11-19 13:10:00,parcel,5.8,United States,132.02
57,2017-12-31 10:32:00,letter,0.38,Indonesia,12.0
57,2017-12-31 10:32:00,parcel,10.09,Taiwan - Province Of China,153.39
58,2017-03-30 11:22:00,parcel,16.82,Chile,359.45
59,2016-07-08 12:51:00,letter,0.37,Nauru,12.0
60,2016-12-24 13:13:00,letter,0.43,Nepal,12.0
60,2016-12-24 13:13:00,letter,0.39,Switzerland,18.0
60,2016-12-24 13:13:00,letter,0.19,Mexico,9.0
61,2017-11-10 11:25:00,letter,0.43,Philippines,12.0
62,2017-06-12 12:49:00,letter,0.35,Canada,18.0
62,2017-06-12 12:49:00,parcel,4.86,South Africa,128.08
63,2016-06-29 12:41:00,parcel,16.3,Vanuatu,187.37
63,2016-06-29 12:41:00,parcel,0.76,Sweden,43.95
64,2016-08-21 12:04:00,letter,0.13,Samoa,6.0
64,2016-08-21 12:04:00,parcel,14.02,Solomon Islands,161.41
65,2016-04-19 12:08:00,letter,0.49,Russian Federation,18.0
66,2017-07-27 12:53:00,letter,0.15,Slovenia,9.0
67,2016-09-12 16:44:00,letter,0.49,Finland,18.0
67,2016-09-12 16:44:00,parcel,0.6,Tonga,38.89
67,2016-09-12 16:44:00,letter,0.37,Turkey,18.0
68,2016-05-15 16:07:00,parcel,4.15,Cyprus,128.08
68,2016-05-15 16:07:00,letter,0.47,Malta,18.0
68,2016-05-15 16:07:00,letter,0.23,Papua New Guinea,6.0
69,2017-07-13 13:41:00,letter,0.24,Cyprus,9.0
69,2017-07-13 13:41:00,letter,0.4,Czech Republic,18.0
70,2017-01-10 12:38:00,parcel,8.91,French Polynesia,161.41
71,2017-11-29 14:53:00,letter,0.43,Canada,18.0
72,2017-10-21 12:36:00,letter,0.41,Japan,12.0
72,2017-10-21 12:36:00,letter,0.32,Russian Federation,18.0
72,2017-10-21 12:36:00,letter,0.42,Brazil,18.0
73,2016-11-26 15:33:00,letter,0.41,Singapore,12.0
74,2017-10-09 11:39:00,parcel,13.0,Brazil,280.85
74,2017-10-09 11:39:00,parcel,1.37,Finland,74.65
75,2016-11-17 13:06:00,parcel,8.18,Israel,295.99
75,2016-11-17 13:06:00,letter,0.41,Myanmar,12.0
75,2016-11-17 13:06:00,letter,0.18,Belgium,9.0
76,2017-12-21 13:00:00,letter,0.46,Brazil,18.0
76,2017-12-21 13:00:00,letter,0.22,Switzerland,9.0
76,2017-12-21 13:00:00,letter,0.28,Poland,18.0
77,2016-07-25 13:30:00,letter,0.43,Belgium,18.0
77,2016-07-25 13:30:00,letter,0.5,Cambodia,12.0
77,2016-07-25 13:30:00,parcel,0.54,Myanmar,38.89
78,2016-08-22 13:28:00,letter,0.12,Argentina,9.0
78,2016-08-22 13:28:00,letter,0.18,Bahrain,9.0
78,2016-08-22 13:28:00,letter,0.29,China,12.0
79,2016-08-21 11:24:00,letter,0.49,Estonia,18.0
80,2016-11-25 14:46:00,letter,0.48,Switzerland,18.0
80,2016-11-25 14:46:00,letter,0.1,Brazil,9.0
80,2016-11-25 14:46:00,parcel,17.34,Portugal,341.29
81,2016-08-11 11:57:00,parcel,14.98,Finland,280.85
